date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:31	4145/4145	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Feb%202018%2008:31:37%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html	(from )
16:00:32	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20May%202018%2014:00:32%20GMT	http://srv-gei.insa-toulouse.fr/robots.txt		(from )
16:00:32	5400/5400	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202017%2014:38:51%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/BASE/CSS/Article.css	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/BASE/CSS/Article.css	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:32	425/425	---M--	200	added ('OK')	text/javascript	date:Thu,%2016%20Nov%202017%2014:38:50%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/BASE/JS/Article.js	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/BASE/JS/Article.js	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:32	4779/4779	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2014:00:33%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/pucePRpetite.png?echelle=1.0	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/pucePRpetite9f8e.png	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:32	5667/5667	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202017%2008:18:13%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape0/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape0/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:33	4553/4553	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2011:30:52%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape1/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:33	3613/3613	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2006:05:16%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape2/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:33	3707/3707	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202017%2009:14:34%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape3/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
16:00:34	3584/3584	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20May%202018%2014:00:34%20GMT	http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape4/index.html	D:/MyWebSites/TP_lilas/srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/etape4/index.html	(from http://srv-gei.insa-toulouse.fr/PubliToolGEI/Enseignements/SFO/MIC-3/Documents/gitSFOMIC3/APPSFOPROF/index.html)
